fid;id;sp;site;date;time;lat;long;b_b_a;microhab;size;d_fr_refug;ind;FIDi;comment;Temp;people;people_1min;flight_type;approach;side_approach;closest_ref_type;gone_ref_type;people_1min_vehic2;season
1001;1001;V_salva;phutthamonthon;24/06/2025;10:06;13.78139506;100.3208342;swimming;water;S;;;;;34;;;;;;;;;rainy
1002;1002;V_salva;phutthamonthon;24/06/2025;10:17;13.7816119;100.3191706;resting;bank;M;0.5;;3;;34;;5;quick;;;water;water;5;rainy
1003;1003;V_salva;phutthamonthon;24/06/2025;10:21;13.78074509;100.3206641;swimming;water;M;;;;;34;;;;;;;;;rainy
1004;1004;V_salva;phutthamonthon;24/06/2025;10:33;13.77975583;100.3197058;basking;bank;S;1;;2;;34;;1;quick;;;water;water;1;rainy
1005;1005;V_salva;phutthamonthon;24/06/2025;10:50;13.77932729;100.3203879;resting;bank;L;1.5;;0;aggressive;34;;0;none;;;;;0;rainy
1006;1006;V_salva;phutthamonthon;24/06/2025;11:11;13.77818633;100.3190588;roaming then resting;bank;M;2;;5;;34;;0;slow;;;water;water;0;rainy
1007;1007;V_salva;phutthamonthon;24/06/2025;11:15;13.77782673;100.3186869;basking;bank;L;2;;0;aggressive;34;;2;none;;;;;2;rainy
1008;1008;V_salva;phutthamonthon;24/06/2025;12:01;13.77671885;100.3179315;basking;bank;S;1;;3;;34;;1;quick;;;water;water;1;rainy
1009;1009;V_salva;phutthamonthon;24/06/2025;12:14;13.7790806;100.3175008;swimming;water;M;;;;;34;;;;;;;;;rainy
1010;1010;V_salva;phutthamonthon;24/06/2025;12:36;13.77931628;100.3173818;swimming;water;S;;;;;34;;;;;;;;;rainy
1011;1011;V_salva;phutthamonthon;24/06/2025;12:46;13.77779044;100.3170218;basking;grass;L;2.5;;4;;34;;2;slow;;;building;building;2;rainy
1012;1012;V_salva;phutthamonthon;24/06/2025;13:32;13.777106;100.316537;swimming;water;L;;;;;34;;;;;;;;;rainy
1013;1013;V_salva;phutthamonthon;24/06/2025;13:48;13.77660552;100.3188372;resting;bank;L;1;;3;;34;;1;quick;;;water;water;1;rainy
1014;1014;V_salva;salaya;27/06/2025;07:35;13.79251114;100.3230981;walking;building;M;;;;;32;;;;;;;;;rainy
1015;1015;V_salva;salaya;27/06/2025;08:10;13.79088865;100.3239029;resting;bush;S;1;;2;;32;;12;quick;;;bush;bush;12;rainy
1016;1016;V_salva;salaya;27/06/2025;08:18;13.79093275;100.3241067;resting;abandoned building;M;1;;3;;32;;23;quick;;;building;distance;23;rainy
1017;1017;V_salva;salaya;27/06/2025;08:32;13.79005854;100.3236115;swimming;water;;;;;;32;;;;;;;;;rainy
1018;1018;V_salva;salaya;27/06/2025;08:33;13.78990441;100.3236939;resting;island;;;;;;32;;;;;;;;;rainy
1019;1019;V_salva;salaya;27/06/2025;08:42;13.78989627;100.3235273;resting;island;;;;;;32;;;;;;;;;rainy
1020;1020;V_salva;salaya;27/06/2025;09:00;13.78981287;100.3239061;resting;bank;M;0.5;;3;;32;;2;quick;;;water;water;2;rainy
