fid;grass;human_structure;tree;water;p_grass;p_human_structure;p_tree;p_water;ttl_p;ttl_deg
3;;;6.18E-08;4.52E-08;0.00E+00;0.00E+00;5.78E-01;4.22E-01;1.00E+00;1.07E-07
5;3.27E-09;7.73E-09;6.79E-08;2.82E-08;3.05E-02;7.21E-02;6.34E-01;2.64E-01;1.00E+00;1.07E-07
11;;;7.61E-08;3.08E-08;0.00E+00;0.00E+00;7.12E-01;2.88E-01;1.00E+00;1.07E-07
12;;;4.66E-08;6.05E-08;0.00E+00;0.00E+00;4.35E-01;5.65E-01;1.00E+00;1.07E-07
13;;6.55E-10;8.06E-08;2.58E-08;0.00E+00;6.12E-03;7.53E-01;2.41E-01;1.00E+00;1.07E-07
18;1.18E-08;6.48E-08;2.41E-08;6.36E-09;1.10E-01;6.05E-01;2.25E-01;5.94E-02;1.00E+00;1.07E-07
19;;5.05E-08;1.77E-08;3.89E-08;0.00E+00;4.71E-01;1.65E-01;3.63E-01;1.00E+00;1.07E-07
20;8.52E-10;5.32E-08;1.16E-08;4.14E-08;7.96E-03;4.97E-01;1.08E-01;3.87E-01;1.00E+00;1.07E-07
23;7.78E-10;5.00E-08;1.57E-08;4.06E-08;7.26E-03;4.67E-01;1.47E-01;3.79E-01;1.00E+00;1.07E-07
24;;5.25E-08;1.81E-08;3.65E-08;0.00E+00;4.90E-01;1.69E-01;3.41E-01;1.00E+00;1.07E-07
25;;8.37E-08;;2.33E-08;0.00E+00;7.82E-01;0.00E+00;2.18E-01;1.00E+00;1.07E-07
26;3.25E-09;6.08E-08;8.13E-09;3.49E-08;3.04E-02;5.68E-01;7.59E-02;3.26E-01;1.00E+00;1.07E-07
28;1.23E-08;2.26E-08;1.86E-08;5.36E-08;1.15E-01;2.11E-01;1.73E-01;5.01E-01;1.00E+00;1.07E-07
30;8.84E-09;5.61E-08;1.50E-09;4.09E-08;8.24E-02;5.22E-01;1.39E-02;3.81E-01;1.00E+00;1.07E-07
31;4.66E-09;6.50E-08;4.45E-09;3.31E-08;4.35E-02;6.06E-01;4.15E-02;3.09E-01;1.00E+00;1.07E-07
33;2.48E-08;2.24E-08;2.49E-08;3.50E-08;2.32E-01;2.09E-01;2.32E-01;3.27E-01;1.00E+00;1.07E-07
37;1.05E-08;1.76E-08;3.84E-08;4.08E-08;9.82E-02;1.64E-01;3.58E-01;3.80E-01;1.00E+00;1.07E-07
38;4.65E-08;;1.44E-08;4.62E-08;4.34E-01;0.00E+00;1.35E-01;4.31E-01;1.00E+00;1.07E-07
39;2.41E-08;;4.06E-08;4.25E-08;2.25E-01;0.00E+00;3.78E-01;3.97E-01;1.00E+00;1.07E-07
45;6.08E-08;;1.10E-08;3.52E-08;5.68E-01;0.00E+00;1.03E-01;3.29E-01;1.00E+00;1.07E-07
49;1.79E-08;;3.51E-08;5.42E-08;1.67E-01;0.00E+00;3.27E-01;5.05E-01;1.00E+00;1.07E-07
