fid;grass;human_structure;tree;water;p_grass;p_human_structure;p_tree;p_water;ttl
20;;1.22E-08;;1.59E-08;0.00E+00;4.35E-01;0.00E+00;5.65E-01;1.00E+00
84;1.16E-08;;1.62E-08;;4.18E-01;0.00E+00;5.82E-01;0.00E+00;1.00E+00
212;;;1.20E-08;1.60E-08;0.00E+00;0.00E+00;4.29E-01;5.71E-01;1.00E+00
38;2.41E-08;;;4.32E-09;8.48E-01;0.00E+00;0.00E+00;1.52E-01;1.00E+00
157;;;2.07E-08;7.16E-09;0.00E+00;0.00E+00;7.43E-01;2.57E-01;1.00E+00
102;9.96E-09;;4.02E-09;1.39E-08;3.57E-01;0.00E+00;1.44E-01;4.99E-01;1.00E+00
221;1.24E-09;;2.39E-08;2.77E-09;4.45E-02;0.00E+00;8.56E-01;9.95E-02;1.00E+00
111;3.08E-09;5.08E-09;3.95E-09;1.58E-08;1.10E-01;1.82E-01;1.42E-01;5.66E-01;1.00E+00
56;;;2.12E-08;6.77E-09;0.00E+00;0.00E+00;7.58E-01;2.42E-01;1.00E+00
184;5.01E-09;5.09E-10;6.14E-09;1.63E-08;1.79E-01;1.82E-02;2.20E-01;5.83E-01;1.00E+00
13;;;2.67E-08;1.22E-09;0.00E+00;0.00E+00;9.56E-01;4.37E-02;1.00E+00
141;2.26E-08;;4.41E-09;3.00E-10;8.28E-01;0.00E+00;1.61E-01;1.10E-02;1.00E+00
31;1.32E-09;1.37E-08;;1.29E-08;4.74E-02;4.91E-01;0.00E+00;4.62E-01;1.00E+00
150;;;2.58E-08;2.10E-09;0.00E+00;0.00E+00;9.25E-01;7.51E-02;1.00E+00
95;;;6.08E-09;2.18E-08;0.00E+00;0.00E+00;2.18E-01;7.82E-01;1.00E+00
104;;;1.27E-08;1.52E-08;0.00E+00;0.00E+00;4.56E-01;5.44E-01;1.00E+00
223;;1.24E-08;1.55E-08;3.42E-12;0.00E+00;4.45E-01;5.55E-01;1.22E-04;1.00E+00
49;1.24E-08;;3.03E-09;1.26E-08;4.42E-01;0.00E+00;1.08E-01;4.50E-01;1.00E+00
113;5.05E-09;;1.39E-08;8.90E-09;1.81E-01;0.00E+00;5.00E-01;3.19E-01;1.00E+00
79;4.25E-09;7.80E-10;2.29E-08;;1.52E-01;2.80E-02;8.20E-01;0.00E+00;1.00E+00
24;;1.34E-08;;1.45E-08;0.00E+00;4.80E-01;0.00E+00;5.20E-01;1.00E+00
207;1.05E-08;8.01E-09;4.71E-09;4.63E-09;3.78E-01;2.87E-01;1.69E-01;1.66E-01;1.00E+00
33;7.18E-09;;1.05E-08;1.02E-08;2.57E-01;0.00E+00;3.76E-01;3.67E-01;1.00E+00
